СЛОВАРЬ ТЕРМИНОВ, ИСПОЛЬЗУЕМЫХ ПРИ ПЕРЕВОДЕ ДОКУМЕНТАЦИИ НА CVS

Author: Alexey Mahotkin <alexm@hsys.msk.ru>

$Id: cvs-dict.txt,v 1.4 2000/04/17 22:24:44 alexm Exp $

branch			ветвь, ветка

check in (new revision)	поместить в репозиторий новую ревизию

check in (sources)	зафиксировать

check out		извлечение

chunk			порция, (ломоть: устарело)

commit (changes)	зафиксировать (изменения)

development version	разрабатываемая версия

directory		каталог (*НЕ* "директория")

head revision		головная ревизия (@code{HEAD})

keyword substitution	подстановка ключевых слов

numeric tag		номер ревизии

product release		версия продукта

remote repository	сетевой репозиторий (*НЕ* "удаленный")

repository		репозиторий (в принципе можно "репозитарий")

revision		ревизия (файла)

sources			исходные тексты, (изредка "исходники") 

symbolic name		алфавитное имя

tag			метка

trunk			(основной) ствол

vendor			поставщик

version			версия (продукта или программного пакета)


